02PR,America/Puerto_Rico
CAP9,America/Edmonton
CAQ4,America/Vancouver
CAQ5,America/Vancouver
CAR4,America/Toronto
CAR5,America/Toronto
CAS2,America/Vancouver
CAT1,America/Toronto
CAT4,America/Vancouver
CAT5,America/Vancouver
CAU3,America/Vancouver
CAU4,America/Vancouver
CAV3,America/Vancouver
CAV4,America/Vancouver
CAV6,America/Winnipeg
CAV9,America/Winnipeg
CAW3,America/Vancouver
CAX2,America/Regina
CAX5,America/Vancouver
CAY5,America/Toronto
CAZ5,America/Vancouver
CBA7,America/Toronto
CBA8,America/Vancouver
CBA9,America/Vancouver
CBB6,America/Vancouver
CBB9,America/Vancouver
CBBC,America/Vancouver
CBC2,America/Inuvik
CBD6,America/Inuvik
CBE2,America/Edmonton
CBF2,America/Toronto
CBF3,America/Toronto
CBF9,America/Vancouver
CBG2,America/Vancouver
CBH2,America/Fort_Nelson
CBH4,America/Vancouver
CBH5,America/Toronto
CBH7,America/Edmonton
CBI2,America/Edmonton
CBJ4,America/Vancouver
CBK6,America/Vancouver
CBK7,America/Fort_Nelson
CBL3,America/Fort_Nelson
CBL6,America/Edmonton
CBL8,America/Toronto
CBL9,America/Vancouver
CBM2,America/Toronto
CBM3,America/Toronto
CBM6,America/Vancouver
CBN7,America/Toronto
CBN9,America/Vancouver
CBQ2,America/Vancouver
CBQ7,America/Vancouver
CBQ8,America/Vancouver
CBR2,America/Vancouver
CBR3,America/Regina
CBR4,America/Vancouver
CBR9,America/Edmonton
CBS2,America/Regina
CBS4,America/Vancouver
CBS7,America/Regina
CBS8,America/Vancouver
CBT3,America/Vancouver
CBU2,America/Vancouver
CBW2,America/Vancouver
CBW3,America/Vancouver
CBW4,America/Vancouver
CBW6,America/Toronto
CBW8,America/Toronto
CBX5,America/Whitehorse
CBX7,America/Dawson_Creek
CBZ9,America/Vancouver
CCA3,America/Halifax
CCA5,America/Regina
CCA6,America/St_Johns
CCB2,America/Regina
CCC2,America/St_Johns
CCC3,America/Winnipeg
CCD2,America/St_Johns
CCD3,America/Moncton
CCD4,America/Goose_Bay
CCE3,America/Moncton
CCE4,America/St_Johns
CCE6,America/Toronto
CCF4,America/Halifax
CCF6,America/Edmonton
CCF7,America/Regina
CCF9,America/Moncton
CCG3,America/Moncton
CCG4,America/Moncton
CCG5,America/Toronto
CCH4,America/St_Johns
CCI9,America/Vancouver
CCJ3,America/Moncton
CCK3,America/Moncton
CCK4,America/St_Johns
CCK5,America/Toronto
CCL2,America/Regina
CCL3,America/Edmonton
CCL7,America/Toronto
CCL9,America/Swift_Current
CCM3,America/Moncton
CCM4,America/St_Johns
CCN2,America/Moncton
CCN4,America/Toronto
CCP2,America/St_Johns
CCP3,America/Toronto
CCP4,America/St_Johns
CCP6,America/Toronto
CCP7,America/Edmonton
CCQ3,America/Halifax
CCR3,America/Moncton
CCR9,America/Toronto
CCS3,America/Moncton
CCS4,America/Moncton
CCS5,America/Moncton
CCS6,America/Vancouver
CCT2,America/Toronto
CCU2,America/Toronto
CCV4,America/St_Johns
CCW3,America/Halifax
CCW4,America/Halifax
CCX3,America/Moncton
CCY3,America/Moncton
CCY4,America/Halifax
CCZ2,America/Goose_Bay
CCZ3,America/St_Johns
CCZ4,America/Glace_Bay
CCZ5,America/Halifax
CDA4,America/Moncton
CDA5,America/St_Johns
CDA6,America/Moncton
CDC3,America/Dawson_Creek
CDC4,America/Moncton
CDC5,America/Vancouver
CDD3,America/Toronto
CDF2,America/Toronto
CDF3,America/Toronto
CDF5,America/Toronto
CDF6,America/Toronto
CDG3,America/Toronto
CDH3,America/Halifax
CDH6,America/Toronto
CDJ4,America/Moncton
CDJ5,America/Edmonton
CDK2,America/Edmonton
CDL7,America/Cambridge_Bay
CDL8,America/Halifax
CDM3,America/Toronto
CDO2,America/Edmonton
CDP3,America/Winnipeg
CDT5,America/Moncton
CDT7,America/Toronto
CDT9,America/Toronto
CDU5,America/Toronto
CDU6,America/Moncton
CDV2,America/Moncton
CDW2,America/Glace_Bay
CDY3,America/St_Johns
CDY6,America/Halifax
CEA3,America/Edmonton
CEA5,America/Edmonton
CEA6,America/Edmonton
CEB4,America/Edmonton
CEB5,America/Edmonton
CEB8,America/Toronto
CEC3,America/Edmonton
CEC4,America/Edmonton
CED3,America/Edmonton
CED4,America/Edmonton
CED5,America/Edmonton
CED6,America/Edmonton
CED8,America/Toronto
CEE4,America/Edmonton
CEE5,America/Edmonton
CEE6,America/Edmonton
CEE8,America/Edmonton
CEF2,America/Toronto
CEF3,America/Edmonton
CEF4,America/Edmonton
CEG3,America/Edmonton
CEG4,America/Edmonton
CEG5,America/Edmonton
CEG8,America/Winnipeg
CEH2,America/Edmonton
CEH3,America/Edmonton
CEH4,America/Edmonton
CEH5,America/Edmonton
CEH6,America/Edmonton
CEJ3,America/Edmonton
CEJ4,America/Edmonton
CEJ6,America/Edmonton
CEK2,America/Whitehorse
CEK6,America/Edmonton
CEL3,America/Toronto
CEL4,America/Edmonton
CEL5,America/Edmonton
CEL6,America/Edmonton
CEL8,America/Toronto
CEM3,America/Edmonton
CEM4,America/Edmonton
CEM5,America/Edmonton
CEN2,America/Edmonton
CEN3,America/Edmonton
CEN4,America/Edmonton
CEN5,America/Edmonton
CEN6,America/Edmonton
CEP3,America/Edmonton
CEP4,America/Edmonton
CEP5,America/Edmonton
CEP6,America/Edmonton
CEQ3,America/Edmonton
CEQ4,America/Edmonton
CER2,America/Edmonton
CER3,America/Edmonton
CER4,America/Edmonton
CES2,America/Toronto
CES4,America/Edmonton
CES5,America/Toronto
CET2,America/Edmonton
CET4,America/Inuvik
CET9,America/Inuvik
CEU2,America/Edmonton
CEV2,America/Edmonton
CEV3,America/Edmonton
CEV5,America/Edmonton
CEV7,America/Edmonton
CEV9,America/Edmonton
CEW2,America/Regina
CEW3,America/Edmonton
CEW5,America/Edmonton
CEX3,America/Edmonton
CEX4,America/Whitehorse
CEX9,America/Edmonton
CEY3,America/Edmonton
CEZ2,America/Dawson
CEZ3,America/Edmonton
CEZ4,America/Edmonton
CFA4,America/Whitehorse
CFA5,America/Edmonton
CFA7,America/Edmonton
CFB3,America/Edmonton
CFB4,America/Edmonton
CFB5,America/Edmonton
CFB6,America/Edmonton
CFB7,America/Edmonton
CFC4,America/Whitehorse
CFC6,America/Edmonton
CFC7,America/Edmonton
CFD4,America/Edmonton
CFD5,America/Edmonton
CFF2,America/Edmonton
CFF3,America/Edmonton
CFF4,America/Edmonton
CFF9,America/Edmonton
CFG3,America/Edmonton
CFG4,America/Edmonton
CFG5,America/Edmonton
CFG6,America/Edmonton
CFH4,America/Halifax
CFH8,America/Edmonton
CFK2,America/Edmonton
CFK4,America/Edmonton
CFK6,America/Edmonton
CFL2,America/Edmonton
CFL4,America/Toronto
CFL9,America/Edmonton
CFM2,America/Edmonton
CFM4,America/Edmonton
CFM6,America/Edmonton
CFM7,America/Edmonton
CFM8,America/Edmonton
CFN5,America/Edmonton
CFN7,America/Edmonton
CFP4,America/Whitehorse
CFP5,America/Edmonton
CFP6,America/Whitehorse
CFP7,America/Edmonton
CFP8,America/Whitehorse
CFQ3,America/Edmonton
CFQ4,America/Edmonton
CFQ5,America/Dawson
CFQ6,America/Whitehorse
CFQ7,America/Edmonton
CFR2,America/Edmonton
CFR5,America/Toronto
CFR7,America/Edmonton
CFS3,America/Whitehorse
CFS4,America/Dawson
CFS5,America/Edmonton
CFS6,America/Edmonton
CFS7,America/Whitehorse
CFS8,America/Edmonton
CFT2,America/Edmonton
CFT3,America/Whitehorse
CFT5,America/Whitehorse
CFT8,America/Edmonton
CFU3,America/Edmonton
CFU4,America/Edmonton
CFU8,America/Edmonton
CFV2,America/Edmonton
CFV3,America/Edmonton
CFV6,America/Edmonton
CFW2,America/Edmonton
CFW4,America/Edmonton
CFW5,America/Edmonton
CFX2,America/Edmonton
CFX3,America/Edmonton
CFX4,America/Edmonton
CFX5,America/Toronto
CFX6,America/Edmonton
CFX8,America/Edmonton
CFY2,America/Edmonton
CFY4,America/Edmonton
CFY5,America/Whitehorse
CFY6,America/Edmonton
CFZ3,America/Edmonton
CFZ5,America/Edmonton
CGB2,America/Edmonton
CGF2,America/Edmonton
CGF5,America/Edmonton
CGF6,America/Toronto
CGF7,America/Toronto
CGK2,America/Edmonton
CGL2,America/Toronto
CGL4,America/Edmonton
CGN3,America/Edmonton
CGR3,America/Cambridge_Bay
CGR7,America/Moncton
CGS2,America/Cambridge_Bay
CGV2,America/Toronto
CGV3,America/Toronto
CGV5,America/Toronto
CGV6,America/Toronto
CGV7,America/Toronto
CHC5,America/Rankin_Inlet
CHD4,America/Toronto
CHF2,America/Toronto
CHF3,America/Edmonton
CHF5,America/Toronto
CHG2,America/St_Johns
CHL2,America/Halifax
CHM2,America/Swift_Current
CHS3,America/Edmonton
CJA2,America/Toronto
CJA3,America/Winnipeg
CJA5,America/Winnipeg
CJA7,America/Regina
CJB2,America/Winnipeg
CJB3,America/Winnipeg
CJB5,America/Regina
CJB6,America/Winnipeg
CJB8,America/Swift_Current
CJC2,America/Regina
CJC3,America/Regina
CJC4,America/Regina
CJC5,America/Swift_Current
CJC6,America/Swift_Current
CJC8,America/Winnipeg
CJD2,America/Regina
CJD3,America/Regina
CJD5,America/Swift_Current
CJE2,America/Regina
CJE3,America/Regina
CJE4,America/Winnipeg
CJE5,America/Swift_Current
CJE7,America/Winnipeg
CJF3,America/Regina
CJF4,America/Edmonton
CJF8,America/Swift_Current
CJG2,America/Swift_Current
CJH2,America/Winnipeg
CJH3,America/Edmonton
CJH4,America/Regina
CJH8,America/Swift_Current
CJJ2,America/Winnipeg
CJJ3,America/Edmonton
CJJ4,America/Winnipeg
CJJ5,America/Swift_Current
CJJ8,America/Swift_Current
CJK2,America/Winnipeg
CJK3,America/Regina
CJK4,America/Regina
CJK5,America/Swift_Current
CJK9,America/Regina
CJL2,America/Regina
CJL4,America/Regina
CJL5,America/Winnipeg
CJL6,America/Winnipeg
CJL8,America/Winnipeg
CJL9,America/Swift_Current
CJM2,America/Regina
CJM4,America/Regina
CJM5,America/Swift_Current
CJM6,America/Regina
CJN2,America/Regina
CJN4,America/Regina
CJN5,America/Regina
CJN7,America/Winnipeg
CJP2,America/Swift_Current
CJP6,America/Regina
CJP7,America/Winnipeg
CJP9,America/Regina
CJQ2,America/Regina
CJQ3,America/Regina
CJQ4,America/Swift_Current
CJQ6,America/Iqaluit
CJQ8,America/Regina
CJQ9,America/Winnipeg
CJR2,America/Swift_Current
CJR3,America/Winnipeg
CJR4,America/Swift_Current
CJR5,America/Winnipeg
CJR7,America/Regina
CJR8,America/Winnipeg
CJR9,America/Regina
CJS2,America/Regina
CJS3,America/Regina
CJS4,America/Regina
CJS5,America/Winnipeg
CJS7,America/Winnipeg
CJT2,America/Winnipeg
CJT3,America/Winnipeg
CJT4,America/Regina
CJT5,America/Winnipeg
CJT8,America/Winnipeg
CJT9,America/Swift_Current
CJU3,America/Winnipeg
CJU4,America/Regina
CJU5,America/Winnipeg
CJU6,America/Winnipeg
CJU7,America/Swift_Current
CJV2,America/Edmonton
CJV4,America/Regina
CJV5,America/Winnipeg
CJV7,America/Toronto
CJV8,America/Winnipeg
CJV9,America/Regina
CJW2,America/Regina
CJW3,America/Swift_Current
CJW4,America/Regina
CJW5,America/Winnipeg
CJW7,America/Regina
CJX4,America/Swift_Current
CJX5,America/Winnipeg
CJY3,America/Regina
CJY4,America/Regina
CJY5,America/Winnipeg
CJZ2,America/Winnipeg
CJZ3,America/Regina
CJZ4,America/Regina
CKA2,America/Vancouver
CKA4,America/Winnipeg
CKA8,America/Winnipeg
CKA9,America/Regina
CKB2,America/Regina
CKB6,America/Winnipeg
CKB7,America/Winnipeg
CKB8,America/Winnipeg
CKC6,America/Regina
CKC7,America/Regina
CKC8,America/Winnipeg
CKC9,America/Regina
CKD2,America/Regina
CKD5,America/Regina
CKD7,America/Winnipeg
CKD8,America/Toronto
CKD9,America/Winnipeg
CKE2,America/Regina
CKE8,America/Swift_Current
CKF2,America/Regina
CKF4,America/Swift_Current
CKF6,America/Winnipeg
CKF8,America/Toronto
CKF9,America/Winnipeg
CKG2,America/Winnipeg
CKG5,America/Winnipeg
CKG8,America/Toronto
CKH2,America/Regina
CKH3,America/Swift_Current
CKH7,America/Swift_Current
CKH8,America/Regina
CKJ2,America/Winnipeg
CKJ4,America/Regina
CKJ7,America/Winnipeg
CKJ8,America/Winnipeg
CKJ9,America/Regina
CKK2,America/Regina
CKK3,America/Regina
CKK4,America/Regina
CKK7,America/Winnipeg
CKL2,America/Winnipeg
CKL3,America/Winnipeg
CKL5,America/Winnipeg
CKL6,America/Regina
CKL9,America/Regina
CKM2,America/Winnipeg
CKM4,America/Regina
CKM6,America/Winnipeg
CKM8,America/Winnipeg
CKN5,America/Regina
CKN8,America/Regina
CKP2,America/Regina
CKQ2,America/Regina
CKQ3,America/Winnipeg
CKQ5,America/Swift_Current
CKQ6,America/Winnipeg
CKQ7,America/Winnipeg
CKQ8,America/Regina
CKQ9,America/Winnipeg
CKR4,America/Winnipeg
CKR7,America/Winnipeg
CKS3,America/Regina
CKS6,America/Regina
CKS7,America/Regina
CKS8,America/Regina
CKS9,America/Toronto
CKT5,America/Winnipeg
CKT7,America/Regina
CKU2,America/Winnipeg
CKU4,America/Swift_Current
CKU5,America/Regina
CKU6,America/Regina
CKU7,America/Regina
CKV2,America/Regina
CKV4,America/Winnipeg
CKV6,America/Regina
CKV7,America/Regina
CKW6,America/Regina
CKX4,America/Winnipeg
CKX5,America/Swift_Current
CKX8,America/Swift_Current
CKY2,America/Regina
CKY8,America/Edmonton
CKZ3,America/Winnipeg
CKZ5,America/Halifax
CKZ6,America/Winnipeg
CKZ7,America/Winnipeg
CLA2,America/Toronto
CLA4,America/Toronto
CLA5,America/Edmonton
CLA6,America/Toronto
CLB2,America/Toronto
CLC2,America/Toronto
CLC4,America/Regina
CLE4,America/Halifax
CLG3,America/Edmonton
CLG7,America/Edmonton
CLH5,America/Toronto
CLJ3,America/Edmonton
CLM2,America/Toronto
CLN4,America/Edmonton
CLS3,America/Edmonton
CLV2,America/Toronto
CLW3,America/Toronto
CLW6,America/Toronto
CMA2,America/Toronto
CMB2,America/Rankin_Inlet
CMB7,America/Toronto
CME2,America/Toronto
CME3,America/Toronto
CMF2,America/Edmonton
CMF3,America/Edmonton
CMF4,America/Toronto
CML2,America/Vancouver
CML5,America/Toronto
CML7,America/Whitehorse
CML8,America/Toronto
CMN3,America/Toronto
CMN4,America/Whitehorse
CMN5,America/Toronto
CMN6,America/Edmonton
CMW3,America/Toronto
CMW4,America/Toronto
CMZ2,America/Toronto
CNA2,America/Toronto
CNA3,America/Toronto
CNA4,America/Toronto
CNA9,America/Toronto
CNC3,America/Toronto
CNC4,America/Toronto
CND4,America/Toronto
CNE3,America/Winnipeg
CNE4,America/Toronto
CNE9,America/Toronto
CNF3,America/Toronto
CNF4,America/Toronto
CNF8,America/Toronto
CNF9,America/Toronto
CNH2,America/Goose_Bay
CNJ3,America/Toronto
CNJ4,America/Toronto
CNK4,America/Toronto
CNL2,America/Edmonton
CNL3,America/Toronto
CNL4,America/Toronto
CNL7,America/Toronto
CNL8,America/Toronto
CNL9,America/Winnipeg
CNM2,America/Toronto
CNM5,America/Winnipeg
CNN3,America/Toronto
CNN8,America/Toronto
CNP3,America/Toronto
CNP6,America/Edmonton
CNP7,America/Toronto
CNP8,America/Toronto
CNQ3,America/Toronto
CNQ4,America/Toronto
CNR2,America/Toronto
CNR4,America/Toronto
CNR6,America/Toronto
CNR9,America/Toronto
CNS4,America/Toronto
CNT6,America/Toronto
CNU4,America/Toronto
CNU8,America/Toronto
CNV4,America/Toronto
CNV8,America/Toronto
CNV9,America/Toronto
CNW3,America/Toronto
CNX3,America/Toronto
CNX8,America/Toronto
CNY3,America/Toronto
CNY4,America/Toronto
CNZ4,America/Toronto
CNZ8,America/Toronto
COB4,America/Toronto
COL2,America/Toronto
COP5,America/Toronto
COR3,America/Toronto
COS2,America/Toronto
CPA4,America/Toronto
CPB5,America/Regina
CPB8,America/Edmonton
CPB9,America/Toronto
CPC2,America/Toronto
CPC3,America/Toronto
CPC6,America/Toronto
CPD2,America/Toronto
CPD4,America/Toronto
CPE3,America/Toronto
CPE4,America/Toronto
CPE5,America/Toronto
CPE6,America/Toronto
CPF2,America/Toronto
CPF3,America/Toronto
CPF4,America/Toronto
CPF6,America/Toronto
CPF7,America/Toronto
CPG4,America/Toronto
CPG5,America/Toronto
CPG7,America/Toronto
CPH2,America/Toronto
CPH9,America/Toronto
CPJ5,America/Toronto
CPJ6,America/Winnipeg
CPK2,America/Toronto
CPK9,America/Toronto
CPL3,America/Toronto
CPL4,America/Toronto
CPL6,America/Edmonton
CPM3,America/Toronto
CPM5,America/Toronto
CPM7,America/Toronto
CPN5,America/Toronto
CPN8,America/Toronto
CPP3,America/Toronto
CPP6,America/Toronto
CPR2,America/Toronto
CPR3,America/Toronto
CPR5,America/Toronto
CPR7,America/Toronto
CPR9,America/Toronto
CPS2,America/Toronto
CPS4,America/Toronto
CPS5,America/Toronto
CPT2,America/Toronto
CPT3,America/Toronto
CPT9,America/Toronto
CPU3,America/Toronto
CPU6,America/Toronto
CPV2,America/Toronto
CPV4,America/Toronto
CPV8,America/Winnipeg
CPV9,America/Swift_Current
CPY9,America/Toronto
CPZ3,America/Toronto
CRA2,America/Toronto
CRB2,America/Toronto
CRB4,America/Toronto
CRB5,America/Toronto
CRC3,America/Vancouver
CRD5,America/Edmonton
CRD6,America/Edmonton
CRE2,America/Edmonton
CRE3,America/Toronto
CRF3,America/Edmonton
CRF4,America/Edmonton
CRF5,America/Regina
CRG3,America/Toronto
CRHA,America/Vancouver
CRK2,America/Edmonton
CRL2,America/Toronto
CRL4,America/Edmonton
CRL7,America/Regina
CRL9,America/Toronto
CRM2,America/Winnipeg
CRM3,America/Toronto
CRM4,America/Moncton
CRM5,America/Toronto
CRML,America/Toronto
CRP2,America/Winnipeg
CRS3,America/Edmonton
CRS4,America/Toronto
CRS7,America/Toronto
CRT2,America/Toronto
CRV3,America/Toronto
CSA2,America/Toronto
CSB2,America/Halifax
CSB3,America/Toronto
CSB5,America/Moncton
CSB7,America/Toronto
CSC3,America/Toronto
CSC9,America/Toronto
CSD3,America/Toronto
CSD4,America/Toronto
CSD7,America/Toronto
CSE3,America/Toronto
CSE4,America/Toronto
CSE5,America/Toronto
CSF3,America/Toronto
CSF4,America/Toronto
CSF5,America/Edmonton
CSF7,America/Toronto
CSG3,America/Toronto
CSG5,America/Toronto
CSH2,America/Toronto
CSH4,America/Toronto
CSH5,America/Toronto
CSJ2,America/Toronto
CSJ4,America/Toronto
CSJ5,America/Toronto
CSK4,America/Toronto
CSK5,America/Toronto
CSK6,America/Edmonton
CSL3,America/Toronto
CSL5,America/Toronto
CSL7,America/Regina
CSL9,America/Toronto
CSM3,America/Toronto
CSM5,America/Toronto
CSN3,America/Toronto
CSN7,America/Toronto
CSP3,America/Edmonton
CSP5,America/Toronto
CSP6,America/Toronto
CSQ3,America/Toronto
CSR2,America/Winnipeg
CSR3,America/Toronto
CSR8,America/Toronto
CSS4,America/Toronto
CST3,America/Toronto
CST7,America/Toronto
CSU2,America/Toronto
CSU3,America/Toronto
CSU5,America/Toronto
CSV8,America/Toronto
CSW6,America/Toronto
CSX3,America/Toronto
CSX5,America/Toronto
CSX7,America/Toronto
CSY3,America/Toronto
CSY4,America/Toronto
CSZ3,America/Toronto
CSZ4,America/Toronto
CTA3,America/Toronto
CTA4,America/Toronto
CTA6,America/Toronto
CTB6,America/Blanc-Sablon
CTB8,America/Edmonton
CTE5,America/Toronto
CTF3,America/Toronto
CTF4,America/Toronto
CTF5,America/Swift_Current
CTG3,America/Toronto
CTH2,America/Edmonton
CTH3,America/Toronto
CTH8,America/Toronto
CTJ3,America/Toronto
CTK2,America/Toronto
CTK6,America/Blanc-Sablon
CTK7,America/Toronto
CTM7,America/Edmonton
CTN6,America/Winnipeg
CTN8,America/Toronto
CTP9,America/Toronto
CTQ2,America/Toronto
CTQ6,America/Toronto
CTR6,America/Toronto
CTT5,America/Blanc-Sablon
CTU2,America/Toronto
CTU5,America/Blanc-Sablon
CTV4,America/Toronto
CTY4,America/Edmonton
CTY5,America/Toronto
CVB2,America/Goose_Bay
CVF2,America/Toronto
CVF3,America/Toronto
CVL3,America/Toronto
CVM2,America/Toronto
CVS2,America/Edmonton
CWB2,America/Toronto
CWC1,America/Regina
CWF2,America/Toronto
CWF4,America/Toronto
CWJC,America/Rankin_Inlet
CWL3,America/Edmonton
CWL4,America/Winnipeg
CWOB,America/Iqaluit
CWP5,America/Toronto
CWR2,America/Edmonton
CYAB,America/Rankin_Inlet
CYAC,America/Winnipeg
CYAD,America/Toronto
CYAG,America/Winnipeg
CYAH,America/Toronto
CYAL,America/Vancouver
CYAM,America/Toronto
CYAQ,America/Winnipeg
CYAS,America/Toronto
CYAT,America/Toronto
CYAU,America/Halifax
CYAV,America/Winnipeg
CYAX,America/Winnipeg
CYAY,America/St_Johns
CYAZ,America/Vancouver
CYBA,America/Edmonton
CYBB,America/Cambridge_Bay
CYBC,America/Toronto
CYBD,America/Vancouver
CYBE,America/Regina
CYBF,America/Edmonton
CYBG,America/Toronto
CYBK,America/Rankin_Inlet
CYBL,America/Vancouver
CYBP,America/Edmonton
CYBQ,America/Winnipeg
CYBR,America/Winnipeg
CYBT,America/Winnipeg
CYBU,America/Regina
CYBV,America/Winnipeg
CYBW,America/Edmonton
CYBX,America/Blanc-Sablon
CYCA,America/Goose_Bay
CYCB,America/Cambridge_Bay
CYCC,America/Toronto
CYCD,America/Vancouver
CYCE,America/Toronto
CYCG,America/Vancouver
CYCH,America/Moncton
CYCK,America/Toronto
CYCL,America/Moncton
CYCN,America/Toronto
CYCO,America/Cambridge_Bay
CYCP,America/Vancouver
CYCQ,America/Dawson_Creek
CYCR,America/Winnipeg
CYCS,America/Rankin_Inlet
CYCT,America/Edmonton
CYCW,America/Vancouver
CYCY,America/Iqaluit
CYCZ,America/Edmonton
CYDA,America/Dawson
CYDB,America/Dawson
CYDC,America/Vancouver
CYDF,America/St_Johns
CYDL,America/Vancouver
CYDM,America/Whitehorse
CYDN,America/Winnipeg
CYDO,America/Toronto
CYDP,America/Goose_Bay
CYDQ,America/Dawson_Creek
CYEA,America/Edmonton
CYEE,America/Toronto
CYEG,America/Edmonton
CYEK,America/Rankin_Inlet
CYEL,America/Toronto
CYEM,America/Toronto
CYEN,America/Regina
CYER,America/Toronto
CYES,America/Moncton
CYET,America/Edmonton
CYEU,America/Atikokan
CYEV,America/Inuvik
CYEY,America/Toronto
CYFA,America/Toronto
CYFB,America/Iqaluit
CYFC,America/Moncton
CYFD,America/Toronto
CYFE,America/Toronto
CYFH,America/Toronto
CYFJ,America/Toronto
CYFO,America/Winnipeg
CYFR,America/Edmonton
CYFS,America/Inuvik
CYFT,America/Goose_Bay
CYG2,America/Toronto
CYGB,America/Vancouver
CYGD,America/Toronto
CYGE,America/Edmonton
CYGH,America/Inuvik
CYGK,America/Toronto
CYGL,America/Toronto
CYGM,America/Winnipeg
CYGO,America/Winnipeg
CYGP,America/Toronto
CYGQ,America/Toronto
CYGR,America/Halifax
CYGT,America/Iqaluit
CYGV,America/Toronto
CYGW,America/Toronto
CYGX,America/Winnipeg
CYGZ,America/Iqaluit
CYHA,America/Toronto
CYHB,America/Regina
CYHD,America/Winnipeg
CYHE,America/Vancouver
CYHF,America/Toronto
CYHH,America/Toronto
CYHI,America/Edmonton
CYHK,America/Cambridge_Bay
CYHM,America/Toronto
CYHN,America/Toronto
CYHO,America/Goose_Bay
CYHP,America/Winnipeg
CYHR,America/Blanc-Sablon
CYHS,America/Toronto
CYHT,America/Whitehorse
CYHU,America/Toronto
CYHY,America/Edmonton
CYHZ,America/Halifax
CYIB,America/Atikokan
CYID,America/Halifax
CYIF,America/Blanc-Sablon
CYIK,America/Toronto
CYIO,America/Iqaluit
CYIV,America/Winnipeg
CYJA,America/Edmonton
CYJF,America/Inuvik
CYJM,America/Vancouver
